TITULO,ANO,NOMES_AJUSTADOS
A CATALOGUE OF CONCERNS FOR SPECIFYING MACHINE LEARNINGENABLED SYSTEMS,2022,"['MARCOS KALINOWSKI', 'HELIO CORTES VIEIRA LOPES']"
A CATALOGUE OF KAOS EXTENSIONS,2022,"['ENYO JOSE TAVARES GONCALVES', 'MARCOS ANTONIO DE OLIVEIRA']"
A CENTROIDBASED APPROACH FOR HIERARCHICAL CLASSIFICATION,2015,"['JULIO CESAR NIEVOLA', 'FABRICIO ENEMBRECK', 'EDSON EMILIO SCALABRIN']"
A CHARACTERIZATION OF LOAD BALANCING ON THE IPV6 INTERNET,2017,"['DORGIVAL OLAVO GUEDES NETO', 'WAGNER MEIRA JUNIOR']"
A CHARACTERIZATION OF PORTUGUESE TWEETS REGARDING THE COVID19 PANDEMIC,2020,"['WAGNER MEIRA JUNIOR', 'RENATO VIMIEIRO', 'GISELE LOBO PAPPA']"
A CITY CLUSTER RISKBASED APPROACH FOR SARSCOV2 AND ISOLATION BARRIERS BASED ON ANONYMIZED MOBILE PHONE USERS LOCATION DATA,2021,"['NIVAN ROBERTO FERREIRA JUNIOR', 'ADIEL TEIXEIRA DE ALMEIDA FILHO']"
A CLASSICONEPRODUCAO ICONEDOI HREFHTTPDXDOIORG101007978303096731430 TARGETBLANKAMINIMUM TSPANNERS ON SUBCUBIC GRAPHS,2022,"['FLAVIO KEIDI MIYAZAWA', 'YOSHIKO WAKABAYASHI']"
A CLASSICONEPRODUCAO ICONEDOI HREFHTTPSDOIORG101016JENDM201507032 TARGETBLANK TABINDEX533AA NEW REVERSIBLE CIRCUIT SYNTHESIS ALGORITHM BASED ON CYCLE REPRESENTATIONS OF PERMUTATIONS,2015,"['CELINA MIRAGLIA HERRERA DE FIGUEIREDO', 'FRANKLIN DE LIMA MARQUEZINO', 'LUIS ANTONIO BRASIL KOWADA']"
A CLASSICONEPRODUCAO ICONEDOI HREFHTTPSDOIORG101016JPROCS202111038 TARGETBLANK TABINDEX533AON TOTAL COLORING THE DIRECT PRODUCT OF COMPLETE GRAPHS,2021,"['CELINA MIRAGLIA HERRERA DE FIGUEIREDO', 'LUIS ANTONIO BRASIL KOWADA']"
A CLASSICONEPRODUCAO ICONEDOI HREFHTTPSDXDOIORG10100797833197740461 TARGETBLANK TABINDEX533ATHE GRAPH TESSELLATION COVER NUMBER EXTREMAL BOUNDS EFFICIENT ALGORITHMS AND HARDNESS,2018,"['CELINA MIRAGLIA HERRERA DE FIGUEIREDO', 'LUIS FELIPE IGNACIO CUNHA', 'FRANKLIN DE LIMA MARQUEZINO', 'LUIS ANTONIO BRASIL KOWADA']"
A CLASSICONEPRODUCAO ICONEDOI HREFHTTPWWWIAMFMPHUNIBASKAMUCOJSINDEXPHPAMUCARTICLEVIEW1208 TARGETBLANK TABINDEX533AON THE CHROMATIC INDEX OF COMPLEMENTARY PRISMS,2019,"['RAPHAEL CARLOS SANTOS MACHADO', 'CELINA MIRAGLIA HERRERA DE FIGUEIREDO']"
A CLASSIFICATION AND QUANTIFICATION APPROACH TO GENERATE FEATURES IN SOUNDSCAPE ECOLOGY USING NEURAL NETWORKS,2022,"['ROSANE MINGHIM', 'MOACIR ANTONELLI PONTI']"
A CLASSIFICATION OF DE BRUIJN GRAPH ALGORITHMS FOR DE NOVO FRAGMENT ASSEMBLY METHODS,2020,"['MARISTELA TERTO DE HOLANDA', 'SERGIO LIFSCHITZ']"
A CLINICAL DECISION SUPPORT SYSTEM FOR AIDING DIAGNOSIS OF ALZHEIMERS DISEASE AND RELATED DISORDERS IN MOBILE DEVICES,2017,"['FLAVIO LUIZ SEIXAS', 'AURA CONCI']"
A CLOUD COMPUTING PRICE MODEL BASED ON VIRTUAL MACHINE PERFORMANCE DEGRADATION,2019,"['DANILO BARBOSA COIMBRA', 'MAYCON LEONE MACIEL PEIXOTO']"
A CLOUDSIM EXTENSION FOR EVALUATING SECURITY OVERHEAD IN WORKFLOW EXECUTION IN CLOUDS,2018,"['JULIO CEZAR ESTRELLA', 'CLAUDIO FABIANO MOTTA TOLEDO']"
A CLUSTERING VISUALIZATION QUERY LANGUAGE,2020,"['AURORA TRINIDAD RAMIREZ POZO', 'CARMEM SATIE HARA']"
A COARSENING METHOD FOR BIPARTITE NETWORKS VIA WEIGHTCONSTRAINED LABEL PROPAGATION,2020,"['MARIA CRISTINA FERREIRA DE OLIVEIRA', 'ALAN DEMETRIUS BARIA VALEJO', 'ALNEU DE ANDRADE LOPES']"
